,Date,LastTransaction,Max,Min,Avg,%Prom,Amount,BEST,Total
0,07.11.2024,"15.098,00","15.098,00","15.098,00","15.098,00","-0,01",17.0,256.666,256.666
1,06.11.2024,"15.100,00",0,0,"15.100,00","0,00",0.0,0,0
2,05.11.2024,"15.100,00","15.100,00","15.100,00","15.100,00","0,00",11.0,166.100,166.100
3,04.11.2024,"15.100,00","15.100,00","15.100,00","15.100,00","2,03",2.0,30.200,30.200
4,01.11.2024,"14.800,00","14.800,00","14.800,00","14.800,00","0,68",12.0,177.600,177.600
5,31.10.2024,"14.700,00","14.700,00","14.700,00","14.700,00","0,00",21.0,308.700,308.700
6,30.10.2024,"14.700,00","14.701,00","14.700,00","14.700,65","0,00",31.0,455.720,455.720
7,29.10.2024,"14.700,00",0,0,"14.700,00","0,00",0.0,0,0
8,28.10.2024,"14.700,00","14.700,00","14.700,00","14.700,00","0,28",34.0,499.800,499.800
9,25.10.2024,"14.700,00","14.700,00","14.601,00","14.659,28","-0,28",141.0,2.066.958,2.066.958
10,24.10.2024,"14.700,00","14.700,00","14.700,00","14.700,00","1,38",40.0,588.000,588.000
11,22.10.2024,"14.500,00",0,0,"14.500,00","0,00",0.0,0,0
12,21.10.2024,"14.500,00","14.500,00","14.500,00","14.500,00","-1,49",1.0,14.500,14.500
13,18.10.2024,"14.700,00",0,0,"14.720,00","0,00",0.0,0,0
14,17.10.2024,"14.700,00","14.800,00","14.700,00","14.720,00","-0,20",5.0,73.600,73.600
15,16.10.2024,"14.700,00","14.790,00","14.700,00","14.748,89","-0,28",18.0,265.480,265.480
16,15.10.2024,"14.790,00","14.790,00","14.790,00","14.790,00","1,69",3.0,44.370,44.370
17,14.10.2024,"14.500,00","14.800,00","14.500,00","14.544,08","-1,73",168.0,2.443.405,2.443.405
18,10.10.2024,"14.800,00","14.800,00","14.800,00","14.800,00","0,00",3.0,44.400,44.400
19,09.10.2024,"14.800,00","14.800,00","14.800,00","14.800,00","-0,20",3.0,44.400,44.400
20,08.10.2024,"14.800,00","14.979,00","14.800,00","14.829,83","-1,06",12.0,177.958,177.958
21,07.10.2024,"14.989,00","14.989,00","14.987,00","14.988,49","1,27",47.0,704.459,704.459
22,04.10.2024,"14.800,00","14.800,00","14.800,00","14.800,00","-0,33",3.0,44.400,44.400
23,03.10.2024,"14.849,00","14.849,00","14.849,00","14.849,00","-0,01",10.0,148.490,148.490
24,02.10.2024,"14.850,00","14.850,00","14.850,00","14.850,00","-0,98",13.0,193.050,193.050
25,01.10.2024,"14.997,00","14.997,00","14.997,00","14.997,00","0,02",6.0,89.982,89.982
26,30.9.2024,"14.994,00","14.994,00","14.994,00","14.994,00","-0,02",6.0,89.964,89.964
27,27.9.2024,"14.997,00","14.998,00","14.997,00","14.997,12","0,00",16.0,239.954,239.954
28,26.9.2024,"14.999,00","14.999,00","14.997,00","14.997,50","1,97",20.0,299.950,299.950
29,25.9.2024,"14.700,00","14.850,00","14.700,00","14.707,86","-0,96",42.0,617.730,617.730
